"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"D_SOD-523";1;"1N4148WT";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_3.2mm_M3_DIN965_Pad";;;
3;"C1,C4,C13,C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"10uF";;;
4;"C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100nF";;;
5;"C5,C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"0.1uF";;;
6;"C6,C8";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10nF";;;
7;"C9,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100uF";;;
8;"C11";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1uF";;;
9;"D1,D3,D4";"D_SOD-323_HandSoldering";3;"PESD5V0U1UA";;;
10;"J1";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";1;"BATT (JST SYP-02T-1)";;;
11;"J2";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"PANEL (JST PH)";;;
12;"J3";"JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal";1;"DATA";;;
13;"J4";"JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal";1;"POWER_OUT";;;
14;"Q1";"SOT-23";1;"NTR1P02";;;
15;"Q2,Q3,Q4";"SOT-23";3;"AO3400A";;;
16;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"300m";;;
17;"R2,R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1k0";;;
18;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100";;;
19;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"220";;;
20;"R5,R7,R17,R18";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"1M";;;
21;"R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
22;"R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"150";;;
23;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"0R";;;
24;"R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"3M3";;;
25;"R12,R13";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10M";;;
26;"R14";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"680k";;;
27;"R15";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4M7";;;
28;"R16";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"220k";;;
29;"U1";"SOT-23-6_Handsoldering";1;"8205A";;;
30;"U2";"SOT-23-6_Handsoldering";1;"DW01-P";;;
31;"U3";"TSSOP-8_4.4x3mm_P0.65mm";1;"DS2756";;;
32;"U4";"QFN-20_3x3";1;"SPV1050";;;
33;"L1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22uH";;;
